"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"FORET MONTMORENCY","QC","Long terme","Température","Minimum extrême (°C)","-42,3","-41,1","-37,2","-31,0","-17,8","-6,0","-2,5","-3,5","-10,0","-21,1","-30,0","-39,0","",""
"FORET MONTMORENCY","QC","Long terme","Température","Minimum extrême (°C) (aaaa/mm/jj)","2009/01/16","1972/02/23","1972/03/11","1994/04/02","1966/05/08","1982/06/04","1982/07/04","1987/08/27","1980/09/29","1972/10/20","1978/11/27","1993/12/29",""," "
"FORET MONTMORENCY","QC","Normales","Précipitation","Précipitation (mm)","125,5","103,0","107,9","107,5","107,3","127,4","158,1","125,7","130,9","142,3","141,0","127,9","1504,6","D"
"FORET MONTMORENCY","QC","Normales","Précipitation","Couverture de neige moyenne (cm)","57","78","86","62","","","","","","","","33","",""
"FORET MONTMORENCY","QC","Normales","Précipitation","Couverture de neige médiane (cm)","56","77","87","64","","","","","","","","33","",""
"FORET MONTMORENCY","QC","Normales","Précipitation","Couverture de neige, fin de mois (cm)","69","85","81","31","","","","","","","21","43","",""
"FORET MONTMORENCY","QC","Normales","Précipitation","Extrême quotidien de pluie (mm)","36,7","30,9","39,4","33,9","57,2","39,8","88,0","50,1","45,9","50,9","58,7","36,4","",""
"FORET MONTMORENCY","QC","Normales","Précipitation","Extrême quotidien de pluie (mm) (aaaa/mm/jj)","1995/01/15","2001/02/09","1992/03/11","1993/04/17","1999/05/24","1994/06/27","1996/07/19","1994/08/28","1996/09/28","1995/10/21","1996/11/08","1996/12/01",""," "
"FORET MONTMORENCY","QC","Normales","Précipitation","Extrême quotidien de neige (cm)","42,8","31,3","50,6","41,2","11,8","0,0","0,4","0,0","12,7","15,8","47,7","44,6","",""
"FORET MONTMORENCY","QC","Normales","Précipitation","Extrême quotidien de neige (cm) (aaaa/mm/jj)","1997/01/22","1999/02/02","1999/03/22","1996/04/16","1994/05/26","1991/06/01","1992/07/01","1991/08/01","1997/09/24","1997/10/27","1998/11/26","1995/12/09",""," "
"FORET MONTMORENCY","QC","Normales","Précipitation","Extrême quotidien de précipitation (mm)","61,5","47,1","54,0","55,6","59,8","59,6","88,0","55,5","63,6","55,5","58,7","68,9","",""
"FORET MONTMORENCY","QC","Normales","Précipitation","Extrême quotidien de précipitation (mm) (aaaa/mm/jj)","2010/01/25","1996/02/20","1999/03/22","2014/04/15","2015/05/30","2005/06/06","1996/07/19","2011/08/28","2016/09/08","2017/10/30","1996/11/08","2020/12/25",""," "
"FORET MONTMORENCY","QC","Normales","Précipitation","Extrême quotidien couverture de neige (cm)","125","165","159","137","86","0","0","0","5","16","59","80","",""
"FORET MONTMORENCY","QC","Normales","Précipitation","Extrême quotidien couverture de neige (cm) (aaaa/mm/jj)","1997/01/29","1997/02/28","1997/03/01","2020/04/10","2020/05/01","1991/06/01","1991/07/01","1991/08/01","1991/09/30","1997/10/30","1998/11/27","1995/12/10",""," "
"FORET MONTMORENCY","QC","Long terme","Précipitation","Extrême quotidien de pluie (mm)","46,2","84,7","69,2","57,2","57,2","46,4","88,0","64,0","92,2","50,9","63,8","65,5","",""
"FORET MONTMORENCY","QC","Long terme","Précipitation","Extrême quotidien de pluie (mm) (aaaa/mm/jj)","1976/01/26","1981/02/11","1987/03/31","1968/04/24","1999/05/24","1989/06/20","1996/07/19","1972/08/27","1979/09/06","1995/10/21","1966/11/03","1974/12/08",""," "
