E4N;46.21;-64.32000000000001
E4P;46.22;-64.48
E4R;46.32;-64.59
E4S;46.47;-64.76
E4T;46.43;-65.1
E4V;46.35;-64.75
E4W;46.65;-64.89
E4X;46.74;-65.04
E4Y;46.730000000000004;-65.38
E4Z;45.94;-65.2
E5A;45.33;-67.18
E5B;45.11;-67.03
E5C;45.12;-66.84
E5E;44.89;-66.91
E5G;44.7;-66.77
E5H;45.09;-66.73
E5J;45.15;-66.43
E5K;45.36;-66.23
E5L;45.61;-66.61
E5M;45.67;-66.15
E5N;45.51;-65.83
E5P;45.77;-65.65
E5R;45.36;-65.59
E5S;45.4;-66.1
E5T;45.65;-65.88
E6A;46.47;-66.47
E6B;46.28;-66.77
E6C;46.18;-66.59
E6E;46.11;-67.16
E6G;45.99;-67.25
E6H;45.86;-67.56
E6J;45.59;-67.31
E6K;45.74;-67.02
E6L;46.0;-66.91
E7A;47.29;-68.63
E7B;47.44;-68.37
E7C;47.35;-68.2
E7E;47.21;-67.94
E7G;46.94;-67.47
E7H;46.75;-67.67
E7J;46.53;-67.62
E7K;46.42;-67.71000000000001
E7L;46.45;-67.51
E7M;46.160000000000004;-67.6
E7N;46.08;-67.59
E7P;46.31;-67.47
E8A;47.53;-67.38
E8B;47.65;-67.29
E8C;48.06;-66.38
E8E;47.980000000000004;-66.38
E8G;47.910000000000004;-66.01
E8H;43.25;-79.81
E8J;47.79;-65.74
E8K;47.7;-65.74
E8L;47.52;-65.37
E8M;47.69;-65.07000000000001
E8N;47.79;-65.05
E8P;47.68;-64.92
E8R;47.68;-65.01
E8S;47.74;-64.7
E8T;47.83;-64.62
E9A;47.03;-64.97
E9B;46.72;-65.81
E9C;46.54;-66.17
E9E;46.93;-65.82000000000001
E9G;47.25;-65.12
E9H;47.36;-65.0
G0A;47.230000000000004;-71.43
G0B;47.160000000000004;-62.730000000000004
G0C;48.27;-65.31
G0E;48.53;-66.71000000000001
G0G;50.81;-63.34
G0H;49.26;-68.16
G0I;49.1;-66.67
G0J;48.51;-67.5
G0K;48.13;-68.60000000000001
G0L;47.800000000000004;-69.21000000000001
G0M;46.01;-70.7
G0N;46.15;-71.3
G0P;46.18;-71.64
G0Q;48.27;-72.17
G0R;46.83;-70.41
G0S;46.5;-71.43
G0T;48.26;-69.73
G1A;46.81;-71.23
G1B;46.9;-71.21000000000001
G1C;46.88;-71.18
G1D;46.88;-71.2
G1E;46.87;-71.18
G1G;46.87;-71.28
G1H;46.85;-71.26
G1J;46.84;-71.23
G1K;46.81;-71.23
G1L;46.83;-71.23
G1M;46.82;-71.27
G1N;46.81;-71.25
G1P;46.81;-71.31
G1R;46.81;-71.22
G1S;46.79;-71.25
G1T;46.78;-71.26
G1V;46.78;-71.29
G1W;46.76;-71.29
G1X;46.77;-71.33
G1Y;46.76;-71.35000000000001
G2A;46.86;-71.36
G2B;46.84;-71.35000000000001
G2C;46.83;-71.33
G2E;46.81;-71.36
G2G;46.78;-71.37
G2H;46.84;-71.28
G2J;46.84;-71.28
G2K;46.85;-71.3
G2L;46.88;-71.26
G2M;46.910000000000004;-71.31
G2N;46.9;-71.33
G3A;46.74;-71.43
G3B;46.96;-71.3
G3C;47.0;-71.37
G3E;46.87;-71.33
G3G;46.9;-71.37
G3H;46.76;-71.69
G3J;46.86;-71.44
G3K;46.85;-71.41
G3L;46.89;-71.82000000000001
G3M;46.68;-71.73
G3N;46.86;-71.60000000000001
G3P;47.61;-69.64
G3R;46.86;-71.4
G3S;46.86;-71.43
G3V;46.87;-71.45
G3X;45.65;-73.41
G3Z;47.44;-70.52
G4A;47.7;-70.23
G4B;50.03;-66.9
G4F;45.46;-73.58
G4G;46.1;-71.3
G4L;48.120000000000005;-69.18
G4R;50.21;-66.38
G4S;50.26;-66.4
G4T;47.38;-61.86
G4V;49.13;-66.47
G4W;48.84;-67.52
G4X;48.88;-64.46000000000001
G4Z;49.22;-68.16
G5A;47.67;-70.14
G5B;50.02;-66.89
G5C;49.19;-68.27
G5E;47.81;-69.63
G5G;47.65;-69.77
G5H;48.59;-68.19
G5J;48.47;-67.43
G5L;48.44;-68.53
G5M;48.480000000000004;-68.49
G5N;48.39;-68.5
G5P;47.550000000000004;-68.63
G5R;47.83;-69.53
G5T;47.54;-68.66
G5U;46.97;-70.58
G5V;46.980000000000004;-70.56
G5X;46.21;-70.78
G5Y;46.12;-70.68
G5Z;46.1;-70.65
G6A;46.13;-70.67
G6B;45.58;-70.89
G6C;46.76;-71.13
G6E;46.45;-71.02
G6G;46.1;-71.3
G6H;46.09;-71.31
G6J;46.660000000000004;-71.31
G6K;46.71;-71.3
G6L;46.2;-71.81
G6O;46.07;-71.3
G6P;46.050000000000004;-71.95
G6R;46.03;-71.97
G6S;46.050000000000004;-71.91
G6T;46.07;-71.97
G6V;46.81;-71.17
G6W;46.75;-71.23
G6X;46.72;-71.27
G6Z;46.72;-71.2
G7A;46.7;-71.35000000000001
G7B;48.33;-70.89
G7E;45.64;-73.84
G7G;48.45;-71.07000000000001
G7H;48.410000000000004;-71.05
G7J;48.42;-71.09
G7K;48.39;-71.14
G7N;48.32;-71.12
G7P;48.52;-71.3
G7S;48.42;-71.18
G7T;48.4;-71.18
G7V;48.42;-71.08
G7X;48.410000000000004;-71.25
G7Y;48.38;-71.27
G7Z;48.43;-71.27
G8A;48.410000000000004;-71.27
G8B;48.550000000000004;-71.65
G8C;48.54;-71.65
G8E;48.6;-71.67
G8G;48.42;-71.85000000000001
G8H;48.51;-72.23
G8I;46.38;-72.49
G8J;48.63;-72.42
G8K;48.660000000000004;-72.44
G8L;48.88;-72.22
G8M;48.870000000000005;-72.34
G8N;48.39;-71.68
G8P;49.910000000000004;-74.37
G8R;45.54;-75.63
G8T;46.38;-72.53
G8V;46.4;-72.52
G8W;46.39;-72.58
G8Y;46.35;-72.61
G8Z;46.35;-72.57000000000001
G9A;46.34;-72.56
G9B;46.31;-72.63
G9C;46.39;-72.59
G9H;46.33;-72.41
G9K;48.65;-72.47
G9L;46.44;-74.03
G9M;46.56;-72.74
G9N;46.56;-72.74
G9P;46.52;-72.75
G9R;46.59;-72.8
G9T;46.61;-72.69
G9X;47.44;-72.78
H1A;45.67;-73.5
H1B;45.64;-73.5
H1C;45.660000000000004;-73.56
H1E;45.64;-73.59
H1G;45.61;-73.62
H1H;45.59;-73.64
H1I;45.6;-73.53
H1J;45.61;-73.58
H1K;45.61;-73.55
H1L;45.6;-73.52
H1M;45.59;-73.56
H1N;45.57;-73.54
H1P;45.6;-73.59
H1R;45.59;-73.61
H1S;45.58;-73.58
H1T;45.57;-73.57000000000001
H1V;45.56;-73.54
H1W;45.54;-73.55
H1X;45.550000000000004;-73.57000000000001
H1Y;45.550000000000004;-73.58
H1Z;45.57;-73.61
H2A;45.56;-73.60000000000001
H2B;45.57;-73.65
H2C;45.56;-73.66
H2D;45.52;-73.60000000000001
H2E;45.550000000000004;-73.61
H2G;45.54;-73.59
H2H;45.54;-73.57000000000001
H2I;45.54;-73.59
H2J;45.53;-73.58
H2K;45.53;-73.55
H2L;45.52;-73.56
H2M;45.550000000000004;-73.64
H2N;45.54;-73.65
H2P;45.54;-73.63
H2R;45.54;-73.62
H2S;45.53;-73.61
H2T;45.53;-73.59
H2V;45.52;-73.61
H2W;45.52;-73.58
H2X;45.52;-73.56
H2Y;45.51;-73.55
H2Z;45.51;-73.55
H3A;45.51;-73.57000000000001
H3B;45.5;-73.57000000000001
H3C;45.49;-73.58
H3D;45.53;-73.62
H3E;45.47;-73.54
H3F;45.46;-73.55
H3G;45.5;-73.58
H3H;45.5;-73.58
H3I;45.45;-73.54
H3J;45.49;-73.57000000000001
H3K;45.480000000000004;-73.56
H3L;45.550000000000004;-73.67
H3M;45.54;-73.69
H3N;45.53;-73.63
H3P;45.52;-73.63
H3R;45.51;-73.65
H3S;45.51;-73.63
H3T;45.5;-73.62
H3V;45.5;-73.61
H3W;45.49;-73.63
H3X;45.480000000000004;-73.64
H3Y;45.49;-73.60000000000001
H3Z;45.480000000000004;-73.59
H4A;45.480000000000004;-73.61
H4B;45.47;-73.63
H4C;45.480000000000004;-73.59
H4E;45.46;-73.60000000000001
H4G;45.46;-73.57000000000001
H4H;45.45;-73.58
H4J;45.54;-73.7
H4K;45.53;-73.72
H4L;45.52;-73.68
H4M;45.5;-73.69
H4N;45.53;-73.67
H4P;45.5;-73.66
H4R;45.51;-73.71000000000001
H4S;45.5;-73.73
H4T;45.49;-73.7
H4V;45.47;-73.65
H4W;45.47;-73.67
H4X;45.45;-73.65
H7A;45.67;-73.59
H7B;45.68;-73.64
H7C;45.61;-73.65
H7E;45.6;-73.67
H7F;45.57;-73.72
H7G;45.57;-73.68
H7H;45.64;-73.76
H7J;45.660000000000004;-73.7
H7K;45.62;-73.74
H7L;45.6;-73.78
H7M;45.6;-73.72
H7N;45.56;-73.71000000000001
H7P;45.58;-73.8
H7R;45.56;-73.86
H7S;45.57;-73.73
H7T;45.56;-73.77
