DATE_SCRUTIN;NOM_CIRCONSCRIPTION;CODE_CIRCONSCRIPTION;NB_ELECTEURS_DECRET_AV_REV;NB_INSCRIPT_AP_REV_ORD;NB_RADIATION_AP_REV_ORD;NB_CORRECTIONS_AP_REV_ORD;NB_ELECTEURS_AP_REV_ORD;NB_INSCRIPT_AP_REV_SPE;NB_RADIATION_AP_REV_SPE;NB_CORRECTIONS_AP_REV_SPE;NB_ELECTEURS_AP_REV_SPE
2022-10-03;Montarville;252;53217;197;195;15;53219;212;235;29;53196
2022-10-03;Montmorency;742;57786;212;193;16;57805;209;142;14;57872
2022-10-03;Mont-Royal-Outremont;336;55492;517;400;20;55609;417;187;20;55839
2022-10-03;Nelligan;312;57274;225;137;36;57362;257;125;14;57494
2022-10-03;Nicolet-Bécancour;150;41561;115;137;11;41539;134;117;5;41556
2022-10-03;Notre-Dame-de-Grâce;324;46268;363;255;28;46376;221;157;12;46440
2022-10-03;Orford;120;46406;184;221;12;46369;281;174;5;46476
2022-10-03;Papineau;626;63441;259;154;16;63546;246;149;8;63643
2022-10-03;Pointe-aux-Trembles;380;40451;145;195;34;40401;229;130;10;40500
2022-10-03;Pontiac;608;53371;366;147;44;53590;222;116;25;53696
2022-10-03;Portneuf;714;44705;176;138;11;44743;215;145;7;44813
2022-10-03;Prévost;582;50076;163;147;10;50092;259;158;15;50193
2022-10-03;René-Lévesque;906;32504;195;194;12;32505;98;81;10;32522
2022-10-03;Repentigny;560;52060;193;204;11;52049;266;166;4;52149
2022-10-03;Richelieu;264;45772;120;174;5;45718;214;164;4;45768
2022-10-03;Richmond;132;63912;203;260;8;63855;279;234;6;63900
2022-10-03;Rimouski;838;46161;282;153;8;46290;287;191;15;46386
2022-10-03;Rivière-du-Loup-Témiscouata;834;51259;168;164;14;51263;176;237;12;51202
2022-10-03;Robert-Baldwin;316;53694;234;136;33;53792;198;117;28;53873
2022-10-03;Roberval;930;44578;101;201;9;44478;134;110;4;44502
2022-10-03;Rosemont;356;52039;473;277;27;52235;414;247;13;52402
