DT_MAJ_GDUNO,CD_ORGNS,NOM_COURT,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,TYPE_ORGNS,RESEAU,SITE_WEB,COORD_X_LL84,COORD_Y_LL84,ORDRE_ENS,STYLE_CART,CD_REG_ADM,NOM_MRC,NOM_REG_ADM,NOM_CEP,LANG_ENS
,693791,Collège de Technologie Ascent inc.,Collège de Technologie Ascent inc. (secteur anglophone),"300-320, boulevard Crémazie Est",,66023,Montréal,V,H2P1C8,Installation collège privé,Privé,www.ascentcollege.ca,-73.639054,45.544254,Collégial,2_Privé,06,Montréal,Montréal,Laurier-Dorion,anglais
,693795,Institut Élite de Montréal,Institut Élite de Montréal,"45, Place Charles-Le Moyne",Bureau 97,58227,Longueuil,V,J4K5G5,Collège privé,Privé,www.institutelite.ca,-73.523043,45.525745,Collégial,2_Privé,16,Longueuil,Montérégie,Marie-Victorin,français
,693796,Institut Élite de Montréal,Institut Élite de Montréal (secteur anglophone),"45, Place Charles-Lemoyne, bureau 97",,58227,Longueuil,V,J4K5G5,Installation collège privé,Privé,www.institutelite.ca,-73.523043,45.525745,Collégial,2_Privé,16,Longueuil,Montérégie,Marie-Victorin,anglais
,693800,Collège iFly inc.,Collège iFly inc.,"706B, 7e Avenue de l'Aéroport",,23027,Québec,V,G2G2T6,Collège privé,Privé,www.iflycollege.ca,-71.378136,46.789131,Collégial,2_Privé,03,Québec,Capitale-Nationale,Louis-Hébert,français
,693805,Collège Milestone,Collège Milestone,"6400, avenue Auteuil, bureau 200",,58007,Brossard,V,J4Z3P5,Collège privé,Privé,www.collegemilestone.ca,-73.465233,45.467752,Collégial,2_Privé,16,Longueuil,Montérégie,La Pinière,français
,693806,Collège Milestone,Collège Milestone (secteur anglophone),"6400, avenue Auteuil, bureau 200",,58007,Brossard,V,J4Z3P5,Installation collège privé,Privé,www.collegemilestone.ca,-73.465233,45.467752,Collégial,2_Privé,16,Longueuil,Montérégie,La Pinière,anglais
,693810,École Supérieure Internationale de Mtl,École Supérieure Internationale de Montréal,"6555, chemin de la Côte-des-Neiges",Bureau 390,66023,Montréal,V,H3S2A6,Collège privé,Privé,https://www.esidem.ca,-73.635125,45.502668,Collégial,2_Privé,06,Montréal,Montréal,Mont-Royal-Outremont,français
,719503,École de musique Vincent d'Indy,École de musique Vincent d'Indy,"628, chemin de la Côte-Sainte-Catherine",,66023,Montréal,V,H2V2C5,Collège privé,Privé,http://www.emvi.qc.ca,-73.613168,45.512113,Collégial,2_Privé,06,Montréal,Montréal,Mont-Royal-Outremont,français
,719517,Collège Stanislas inc.,Collège Stanislas inc.,"780, boulevard Dollard",,66023,Montréal,V,H2V3G5,Collège privé,Privé,http://www.stanislas.qc.ca,-73.614857,45.518005,Collégial,2_Privé,06,Montréal,Montréal,Mont-Royal-Outremont,français
,747747,"Collège CDI - Montréal, ens. en anglais","Collège CDI Administration . Technologie . Santé, enseignement en anglais","1259, rue Berri, 3e étage",,66023,Montréal,V,H2L4C7,Établissement d'enseignement collège privé,Privé,http://www.collegecdi.ca,-73.55864,45.514458,Collégial,2_Privé,06,Montréal,Montréal,Sainte-Marie-Saint-Jacques,anglais
,748548,Collège LaSalle,Collège LaSalle (secteur anglophone),"2000, rue Sainte-Catherine Ouest",,66023,Montréal,V,H3H2T2,Installation collège privé,Privé,http://www.collegelasalle.com,-73.581805,45.491442,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,anglais
,748561,Collège O'Sullivan de Montréal inc.,Collège O'Sullivan de Montréal inc. (secteur anglophone),"1191, rue de la Montagne",,66023,Montréal,V,H3G1Z2,Installation collège privé,Privé,http://www.osullivan.edu,-73.573406,45.497406,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,anglais
