DT_MAJ_GDUNO,COMBINE_NUO_NUI,CD_ORGNS,NOM_COURT_ORGNS,NOM_OFFCL_ORGNS,ADRS_GEO_L1_GDUNO_ORGNS,ADRS_GEO_L2_GDUNO_ORGNS,CD_POSTL_GDUNO_ORGNS,CD_MUNCP_GDUNO_ORGNS,NOM_MUNCP_GDUNO_ORGNS,CD_IMM,NOM_IMM,ADRS_GEO_L1_GDUNO_IMM,ADRS_GEO_L2_GDUNO_IMM,CD_MUNCP_GDUNO_IMM,NOM_MUNCP_GDUNO_IMM,CD_POSTL_GDUNO_IMM,PRESC,PRIM,SEC,FORM_PRO,ADULTE,SITE_WEB_ORGNS,COORD_X_LL84_IMM,COORD_Y_LL84_IMM,ORDRE_ENS,CD_CS,TYPE_CS,STYLE_CART,NOM_MUNCP,NOM_MRC,NOM_REG_ADM,NOM_CEP,NOM_CS
,112134543,762015,École Saint-Fabien,École Saint-Fabien,"6500, avenue De Renty",,H1M1M4,66023,Montréal,762336,"Marie-Anne, annexe Rosalie-Jetté","5100, rue Bossuet",,66023,Montréal,H1M2M4,1,1,0,0,0,http://www.csdm.qc.ca/st-fabien/,-73.551805,45.577423,Préscolaire - Primaire,762000,Franco,4_OrgImm_Franco_presc_prim,Montréal,Montréal,Montréal,Anjou-Louis-Riel,Centre de services scolaire de Montréal
,112134346,762015,École Saint-Fabien,École Saint-Fabien,"6500, avenue De Renty",,H1M1M4,66023,Montréal,762399,Saint-Fabien,"6500, avenue de Renty",,66023,Montréal,H1M1M4,1,1,0,0,0,http://www.csdm.qc.ca/st-fabien/,-73.550177,45.58321,Préscolaire - Primaire,762000,Franco,4_OrgImm_Franco_presc_prim,Montréal,Montréal,Montréal,Anjou-Louis-Riel,Centre de services scolaire de Montréal
,104141307,742362,École forestière de La Tuque,École forestière de La Tuque - Éducation des adultes,"461, rue Saint-François",,G9X1T8,90012,La Tuque,742022,"Source, de la","1350, 120e Rue",,36033,Shawinigan,G9P3K9,0,0,0,0,1,http://www.csenergie.qc.ca,-72.751832,46.517582,Éducation aux adultes,742000,Franco,9_OrgImm_Franco_Adu,Shawinigan,Shawinigan,Mauricie,Laviolette-Saint-Maurice,Centre de services scolaire de l'Énergie
,104141309,742362,École forestière de La Tuque,École forestière de La Tuque - Éducation des adultes,"461, rue Saint-François",,G9X1T8,90012,La Tuque,742025,Notre-Dame,"3990, rue Monseigneur-Béliveau",,37235,Notre-Dame-du-Mont-Carmel,G0X3J0,0,0,0,0,1,http://www.csenergie.qc.ca,-72.6565,46.489843,Éducation aux adultes,742000,Franco,9_OrgImm_Franco_Adu,Notre-Dame-du-Mont-Carmel,Les Chenaux,Mauricie,Laviolette-Saint-Maurice,Centre de services scolaire de l'Énergie
,104141312,742362,École forestière de La Tuque,École forestière de La Tuque - Éducation des adultes,"461, rue Saint-François",,G9X1T8,90012,La Tuque,742028,Laflèche,"1321, 5e Avenue",,36033,Shawinigan,G9T2N6,0,0,0,0,1,http://www.csenergie.qc.ca,-72.699757,46.607746,Éducation aux adultes,742000,Franco,9_OrgImm_Franco_Adu,Shawinigan,Shawinigan,Mauricie,Laviolette-Saint-Maurice,Centre de services scolaire de l'Énergie
,104141314,742362,École forestière de La Tuque,École forestière de La Tuque - Éducation des adultes,"461, rue Saint-François",,G9X1T8,90012,La Tuque,742031,Saint-Paul,"461, 16e Avenue Est",,36033,Shawinigan,G9T1C5,0,0,0,0,1,http://www.csenergie.qc.ca,-72.697803,46.620768,Éducation aux adultes,742000,Franco,9_OrgImm_Franco_Adu,Shawinigan,Shawinigan,Mauricie,Laviolette-Saint-Maurice,Centre de services scolaire de l'Énergie
,104141315,742362,École forestière de La Tuque,École forestière de La Tuque - Éducation des adultes,"461, rue Saint-François",,G9X1T8,90012,La Tuque,742033,"Sainte-Flore, de","3351, rue Réjane-Sanschagrin",,36033,Shawinigan,G9T3N9,0,0,0,0,1,http://www.csenergie.qc.ca,-72.735114,46.613845,Éducation aux adultes,742000,Franco,9_OrgImm_Franco_Adu,Shawinigan,Shawinigan,Mauricie,Laviolette-Saint-Maurice,Centre de services scolaire de l'Énergie
,104141316,742362,École forestière de La Tuque,École forestière de La Tuque - Éducation des adultes,"461, rue Saint-François",,G9X1T8,90012,La Tuque,742036,Dominique-Savio,"470, 207e Avenue",,36033,Shawinigan,G9T3M1,0,0,0,0,1,http://www.csenergie.qc.ca,-72.655881,46.624261,Éducation aux adultes,742000,Franco,9_OrgImm_Franco_Adu,Shawinigan,Shawinigan,Mauricie,Laviolette-Saint-Maurice,Centre de services scolaire de l'Énergie
,104141317,742362,École forestière de La Tuque,École forestière de La Tuque - Éducation des adultes,"461, rue Saint-François",,G9X1T8,90012,La Tuque,742037,Jacques-Plante,"431, 205e Avenue",,36033,Shawinigan,G9T3H3,0,0,0,0,1,http://www.csenergie.qc.ca,-72.659476,46.625467,Éducation aux adultes,742000,Franco,9_OrgImm_Franco_Adu,Shawinigan,Shawinigan,Mauricie,Laviolette-Saint-Maurice,Centre de services scolaire de l'Énergie
,104151335,742451,CFP Carrefour Form. Mauricie,Carrefour Formation Mauricie formation professionnelle,"5105, avenue Albert-Tessier",,G9N7A3,36033,Shawinigan,742063,Le Sablon d'Or,"831, rue Saint-Alphonse",,35010,Lac-aux-Sables,G0X1M0,0,0,0,1,0,http://www.csenergie.qc.ca/cfm/,-72.399539,46.859469,Formation professionnelle,742000,Franco,8_OrgImm_Franco_Fp,Lac-aux-Sables,Mékinac,Mauricie,Champlain,Centre de services scolaire de l'Énergie
