DT_MAJ_GDUNO,CD_ORGNS,NOM_COURT,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,TYPE_ORGNS,RESEAU,SITE_WEB,COORD_X_LL84,COORD_Y_LL84
,144500,Collège Rivier,Collège Rivier,"343, rue Saint-Jacques Nord ",,44037,Coaticook,V,J1A2R2,Établissement d'enseignement privé,Privé,www.collegerivier.com,-71.796105,45.137964
,145500,Collège Saint-Alexandre,Collège Saint-Alexandre de la Gatineau,"2425, rue Saint-Louis",,81017,Gatineau,V,J8V1E7,Établissement d'enseignement privé,Privé,https://st-alex.ca,-75.750599,45.493558
,147500,Collège Saint-Bernard,Collège Saint-Bernard,"25, avenue des Frères",,49058,Drummondville,V,J2B6A2,Établissement d'enseignement privé,Privé,www.csb.qc.ca,-72.475889,45.88204
,148500,Coll. Saint-Charles-Garnier,Collège Saint-Charles-Garnier,"1150, boul René Lévesque Ouest ",,23027,Québec,V,G1S1V7,Établissement d'enseignement privé,Privé,www.collegesaint-charles.com,-71.245563,46.795244
,149500,Collège Saint-Hilaire,Collège Saint-Hilaire,"800, rue Rouillard",,57035,Mont-Saint-Hilaire,V,J3H0K4,Établissement d'enseignement privé,Privé,www.csh.qc.ca,-73.157676,45.568601
,157500,Collège St-Jean-Vianney,Collège St-Jean-Vianney,"12630, boulevard Gouin Est",,66023,Montréal,V,H1C1B9,Établissement d'enseignement privé,Privé,www.csjv.ca,-73.51985,45.691773
,158500,Coll. Saint-Maurice,Collège Saint-Maurice,"630, rue Girouard Ouest",,54048,Saint-Hyacinthe,V,J2S2Y3,Établissement d'enseignement privé,Privé,www.csm.qc.ca,-72.945441,45.63141
,159500,Coll. Saint-Paul,Collège Saint-Paul,"235, rue Sainte-Anne ",,59020,Varennes,V,J3X1P9,Établissement d'enseignement privé,Privé,www.college-st-paul.qc.ca,-73.442096,45.684844
,164500,Collège Sainte-Marcelline,Collège Sainte-Marcelline,"9155, boulevard Gouin Ouest",,66023,Montréal,V,H4K1C3,Établissement d'enseignement privé,Privé,http://college.marcelline.qc.ca,-73.746823,45.516635
,165500,Coll. Stanislas,Collège Stanislas,"780, boul. Dollard ",,66023,Montréal,V,H2V3G5,Établissement d'enseignement privé,Privé,www.stanislas.qc.ca,-73.614857,45.518005
