
RANG; NOM DE RÈGNE DU PAPE;	DÉBUT DU PONTIFICAT; FIN DU PONTIFICAT; NOM DE NAISSANCE; LIEU DE NAISSANCE
1	Pierre;		            33  67;	                	Bethsaïde en Galilée
99	Eugène II;	            ... II-V.824	...VIII.827;	Rome
100	Valentin;	            ... VIII.827	...IX.827;	 	Rome
101	Grégoire IV;            ... IX.827, 29.III.828	25.I.844;	 	Rome
102	Serge II;	            25.I.844	27.I.847;	 	Rome
103	Léon IV;	            ...I,10.V.847	17.VII.855;	 	Rome
104	Benoît III;           	...VII, 29.IX.855	17.IV.858;	 	Rome
105	Nicolas Ier;	        24.IV.858	13.XI.867;	 	Rome
106	Adrien II;	            14.XII.867	14.XII.872;	 	Rome
107	Jean VIII;	            14.XII.872	16.XII.882;	 	Rome
108	Marin Ier;	            ... XII.882	15.V.884;	 	Gallese (Italie)
109	Adrien III;	            17.V.884	...IX.885;	 	Rome
110	Étienne V;	            ...IX.885	14.IX.891;	 	Rome
111	Formose;	            6.X.891	4.IV.896;	 	    Porto (Italie)
112	Boniface VI;          	11.IV.896	26.IV.896;	 	Rome
113	Étienne VI;	            ...V.896	...VII.897;	 	Rome
114	Romain;	                ...VII.897	...XI.897;	 	Gallese (Italie)
115	Théodore II;	        ...XII.897	...XII.897;	 	Rome
116	Jean IX;	            ...XII.897	...I-V.900;	 	Tivoli (Italie)
117	Benoît IV;	            ...I-V.900	...VII.903;	 	Rome
118	Léon V;	                ... VII.903	... IX.903;	 	Ardea (Italie)
119	Serge III;	            29.I.904	14.IV.911;	 	Rome
120	Anastase III;	        ... VI.911	... VI.913;	 	Rome
121	Landon;	                ... VII.913	... III.914;	Sabine (Italie)
122	Jean X;              	... III.914	... V.928;	 	Tossignano (Italie)
123	Léon VI;              	... V.928	... I.929;	 	Rome
124	Étienne VII;          	...I.929	...II.931;	 	Rome
125	Jean XI;	            ...III.931	...I.936;	 	Rome
126	Léon VII;	            ...I.936	13.VII.939;	 	Rome
127	Étienne VIII;	        14.VII.939	... X.942;	 	Rome
128	Marin II;	            30.X,...XI.942	...V.946;	Rome
129	Agapet II;	            10.V.946	...XII.955;	 	Rome
130	Jean XII;	            16.XII.955	14.V.964;	Octavien;Tusculum (Italie)
131	Léon VIII;	            4,6.XII.963	...III.965;	 	Rome
132	Benoît V;	            ...V.964	4.VII.964;	 	Rome
133	Jean XIII;	            1.X.965	6.IX.972;	 	    Rome
134	Benoît VI;	            ...XII.972, 19.I.973	...VII.974;	 	Rome
135	Benoît VII;	            ...X.974	10.VII.983;	 	Rome
136	Jean XIV;	            ...XI.983	20.VIII.984;	Pierre;Pavie
137	Jean XV;               ...VIII.985	...III.996;	 	Rome
138	Grégoire V;	            3.V.996	...III.999;	Bruno	Saxe (Allemagne)
139	Sylvestre II;	        2.IV.999	12.V.1003;	Gerbert;Aquitaine (France)
140	Jean XVII;	            16.V.1003	6.XI.1003;	Siccon;Rome
141	Jean XVIII;	            25.XII.1003	...VII.1009;	Jean Fasano;Rome
142	Serge IV;	            31.VII.1009	12.V.1012;	Pierre;Rome
143	Benoît VIII;	        18.V.1012	9.IV.1024;	Teofilatto
144	Jean XIX;	            19.IV.1024	...1032;	Romain
145	Benoît IX;	           ...VIII.1032	...IX.1044;	Teofilatto
146	Sylvestre III;	       13.I.1045	...III.1045;	Jean;Rome
147	Benoît XI;	           10.III.1045	1.V.1045;	Teofilatto
148	Grégoire VI;	       1.V.1045	20.XII.1046;	Jean Gratien;Rome
149	Clément II;	           24.XII.1046	9.X.1047;	Suidger de Morsleben et Hornburg	Saxe (Allemagne)
150	Benoît IX;	           ...X.1047	... VIII.1048;	Teofilatto
151	Damase II;	           17.VII.1048	9.VIII.1048;	Poppon;Tyrol
152	Léon IX;	           2,12.II.1049	19.IV.1054;	Bruno d'Eguisheim-Dabo;Alsace (France)
153	Victor II;	           13.IV.1055	28.VII.1057;	Gebhard de Dollnstein-Hirschberg;Souabe (Allemagne)
154	Étienne IX;	           2,3.VIII.1057	29.III.1058;	Frédéric de Lorraine
155	Nicolas II;	           ...XII.1058, 24.I.1059	27.VII.1061;	Gérard;Bourgogne
156	Alexandre II;	        30.IX, 1.X.1061	21.IV.1073;	Anselme;Milan (Italie)
157	Grégoire VII;	        22.IV,30.VI.1073	25.V.1085;	Hildebrand;Tuscie (Italie)
158	Victor III;	            24.V.1086, 9.V.1087	16.IX.1087;	Dauferius (Desiderius);Bénévent (Italie)
159	Urbain II;	            12.III.1088	29.VII.1099;	Odon de Lagery;Châtillon-sur-Marne (France)
160	Pascal II;              13,14.VIII.1099	21.I.1118;	Raniero;Bieda ou Galeata (Italie)
161	Gélase II;	            24.I,10.III.1118	28.I.1119;	Giovanni de Gaète;Gaète (Italie)
162	Calixte II;	            2,9.II.1119	14.XII.1124;	Gui de Bourgogne
163	Honorius II;	        15,21.XII.1124	14.II.1130;	Lamberto Scannabecchi;Fiagnano (Italie)
164	Innocent II;	        14,23.II.1130	24.IX.1143;	Gregorio Papareschi;Rome
165	Célestin II;	        26.IX,3.X.1143	8.III.1144;	Gui	Città di Castello (Italie)
166	Lucius II;	            12.III.1144	15.II.1145;	Gérard;Bologne (Italie)
167	Eugène III;           	15,18.II.1145	8.VII.1153;	Bernard;Pise (Italie)
168	Anastase IV;	        12.VII.1153	3.XII.1154;	Conrad;Rome
169	Adrien IV;	            4,5.XII.1154	1.IX.1159;	Nicolas Breakspear;Abbots Langley (Angleterre)
170	Alexandre III;	        7,20.IX.1159	30.VIII.1181;	Rolando Bandinelli;Sienne (Italie)
171	Lucius III;	            1. 6.IX.1181	25.IX.1185;	Ubaldo Allucingoli;Lucques (Italie)
172	Urbain III;	            25.XI,1.XII.1185	20.X.1187;	Uberto Crivelli;Milan (Italie)
173	Grégoire VIII;	        21.25.X.1187	17.XII.1187;	Alberto di Morra;Bénévent (Italie)
174	Clément III;          	19,20.XII.1187	...III.1191;	Paolo Scolari;Rome
175	Célestin III;	        10,14.IV.1191	8.I.1198;	Giacinto Bobone;Rome
176	Innocent III;	        8.I,22.II.1198	16.VII.1216;	Lotario;Gavignano (Italie)
177	Honorius III;	        18,24.VII.1216	18.III.1227;	Cencio Savelli;Rome
178	Grégoire IX;            19,21.III.1227	22.VIII.1241;	Ugolino di Conti;Anagni (Italie)
179	Célestin IV;	        25,28.X.1241	10.XI.1241;	Goffredo da Castiglione;Milan (Italie)
180	Innocent IV;	        25,28.VI.1243	7.XII.1254;	Sinibaldo Fieschi;Lavagna (Italie)
181	Alexandre IV;	        12,20.XII.1254	25.V.1261;	Rinaldo dei conti di Segni;Jenne (Italie)
182	Urbain IV;	            29.VIII,4.IX.1261	2.X.1264;	Jacques Pantaléon;Troyes (France)
183	Clément IV;           	5,22.II.1265	29.XI.1268;	Gui Foulques;Saint-Gilles (France)
184	Grégoire X;          	1.IX.1271,27.III.1272	10.I.1276;	Tebaldo Visconti;Plaisance (Italie)
185	Innocent V;	            21.I,22.II.1276	22.VI.1276;	Pierre de Tarentaise;Savoie (France)
186	Adrien V;	            11.VII.1276	18.VIII.1276;	Ottobono Fieschi;Gênes (Italie)
187	Jean XXI;	            16,20.IX.1276	20.V.1277;	Pedro Julião;Lisbonne (Portugal)
188	Nicolas III;	        25.XI, 26.XII.1277	22.VIII.1280;	Giovanni Gaetano Orsini;Rome
189	Martin IV;	            22.II,23.III.1281	29.III.1285;	Simon de Brie ou de Brion ou de Mainpincien;France
190	Honorius IV;          	2.IV, 20.V.1285	3.IV.1287;	Giacomo Savelli;Rome
191	Nicolas IV;	            22.II.1288	4.IV.1292;	Girolamo Masci;Lisciano (Italie)
